Event	ID	Name			Wwise Object Path	Notes
	1165162655	Ball_Impact			\Default Work Unit\Ball_Impact	
	1695464326	WindyAmbiencePlay			\Default Work Unit\WindyAmbiencePlay	
	1812213047	Ball_Play			\Default Work Unit\Ball_Play	
	1835233263	WallCollision			\Default Work Unit\WallCollision	
	3784267794	PickupSound			\Default Work Unit\PickupSound	
	3991942870	Music			\Music\Music	

Switch Group	ID	Name			Wwise Object Path	Notes
	3964766495	Floor_Material			\Default Work Unit\Floor_Material	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Floor_Material			
	2058049674	Wood	Floor_Material			
	2129253700	Laminate	Floor_Material			
	2449969375	Glass	Floor_Material			
	3049959702	Felt	Floor_Material			

Game Parameter	ID	Name			Wwise Object Path	Notes
	805906735	Vertical_Speed			\Default Work Unit\Vertical_Speed	
	1062779386	Player_Speed			\Default Work Unit\Player_Speed	
	2043068518	Distance_To_Ground			\Default Work Unit\Distance_To_Ground	
	2581107858	Skid_Factor			\Default Work Unit\Skid_Factor	
	3041061349	Angular_Speed			\Default Work Unit\Angular_Speed	

Effect plug-ins	ID	Name	Type				Notes
	1053905488	Wwise Parametric EQ (Custom)	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	43904164	Ball Roll Wood	F:\Unity Projects\RollaballWwiseCandidate\RollaballWwiseCandidate_WwiseProject\.cache\Windows\SFX\Ball Roll Wood on Wood_3B878223.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Ball Roll\Ball Roll Wood		1218368
	43967976	WindySounds	F:\Unity Projects\RollaballWwiseCandidate\RollaballWwiseCandidate_WwiseProject\.cache\Windows\SFX\FrontYardWindyDay(3)_7D0981A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\WindySounds		1468336
	60985595	WoodBallSkidConcrete	F:\Unity Projects\RollaballWwiseCandidate\RollaballWwiseCandidate_WwiseProject\.cache\Windows\SFX\WoodBallSkidConcrete_1DA5EB9F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Ball Skid\WoodBallSkidConcrete		552628
	97892574	Ball Roll Glass	F:\Unity Projects\RollaballWwiseCandidate\RollaballWwiseCandidate_WwiseProject\.cache\Windows\SFX\Ball Roll Wood Glass_3B878223.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Ball Roll\Ball Roll Glass		763728
	135709545	Collision	F:\Unity Projects\RollaballWwiseCandidate\RollaballWwiseCandidate_WwiseProject\.cache\Windows\SFX\Hit Wall Wood_470FD545.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Collision		3884
	150869835	WoodBallSkidLaminate	F:\Unity Projects\RollaballWwiseCandidate\RollaballWwiseCandidate_WwiseProject\.cache\Windows\SFX\WoodBallSkidLaminate_51B13D22.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Ball Skid\WoodBallSkidLaminate		289322
	154626451	Sparkles_120bpm4-4_L128M_P0M	F:\Unity Projects\RollaballWwiseCandidate\RollaballWwiseCandidate_WwiseProject\.cache\Windows\SFX\Sparkles_120bpm4-4_L128M_P0M_3B878223.wem		\Interactive Music Hierarchy\Music\Etherial_Drone\Drone\Sparkles_120bpm4-4_L128M_P0M		5714899
